"#""If the first column for a row is blank"," then the row is ignored""",
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,vol_mod,"blank causes no effect on vol_min and vol_max, otherwise the string must match a string in the volumemodgroups.def file and the value in that file corresponding to that string will be used to adjust vol_min and vol_max, clamped to the valid range"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)"
,type,primed (a streamed sound which gets primed on some platforms) / streamed / loaded (default = loaded)
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1)
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")"
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound's volume will be multiplied by that number (a percentage between 0 and 1) any master sound is playing.  If blank, then neither master nor slave."
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps."
,compression,"a string corresponding to an entry in ""XMAUpdate.tbl"" which is used to determine compression by XMAUpdate.exe"
,secondaryaliasname,"defined the name of an additional sound alias to play in addition to the current alias being played. Note that it is an error for the secondaryalias to also define a secondaryaliasname (eg, if B is a secondaryalias of A, B is not allowed to have its own secondaryalias)."
,volumefalloffcurve,if blank uses the linear curve which can not be changed. A string 'XXXX' corresponds to the curve defined by the file 'soundaliases/XXXX.vfcurve'
,startdelay,defaults to no delay. The value is the number of milliseconds to delay starting the sound by
,speakermap,if blank uses the default speakermappings which cannot be changed. A string 'XXXX' corresponds to the speakermap defined by the file 'soundaliases/XXXX.spkrmap'. 
,reverb,"blank means the alias is affected normally by wet and dry levels, ""fulldrylevel"" forces the alias to use a full drylevel (ignoring the global drylevel), ""nowetlevel"" forces the alias to use no wetlevel (ignoring the global wetlevel)"
,lfe percentage,this determines what percentage of the highest calculated spatialized speaker volume should be passed to the LFE. blank means no LFE for the sound
,center percentage,this determines what percentage of the volume should be redirected to the center channel (equal percentage taken from all speakers).
,platform,"used by XMAUpdate to determine whether the alias should be processed for a particular platform.  If blank, process for all platforms.  Platforms are PC, XB, PS, WI.  Multiple values should be separated by spaces.  !PC will exclude alias from PC but include in all other platforms.  PC will only include alias for PC.  !PC XB is invalid."
,envelop_min,any sounds within this distance of the listener will use the full envelop percentage
,envelop_max,sounds between enevlop_min and envelop_max use a fraction of the envelop percentage,,,,,,,,,,,,,,,,,,,,,,,,,,
,envelop percentage,amount of omnidirectionality to apply,,,,,,,,,,,,,,,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage,center percentage,platform,envelop_min,envelop_max,envelop percentage


# Colt 44
weap_357_fire_plr,,weapons/iw4/44/weap_anaconda_fire.wav,1,1,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2
weap_357_fire,,weapons/iw4/44/weap_anaconda_fire.wav,0.7,0.8,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4

st_colt44_mag_out,,weapons/iw4/44/gr_357_open.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
st_colt44_bullets_out,,weapons/iw4/44/gr_357_empty.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
st_colt44_bullets_in,,weapons/iw4/44/gr_357_load.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
st_colt44_mag_in,,weapons/iw4/44/gr_357_close.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50

# Five-Seven
wpn_fiveseven_fire_plr,,weapons/t6/fiveseven/fire.wav,1,1,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2
wpn_fiveseven_fire_npc,,weapons/t6/fiveseven/fire.wav,0.7,0.8,wpnai,1,1,35,2000,weapon,,,,0.8,all_mp,,,,weapon4

wpn_fiveseven_fly_futz,,weapons/t6/fiveseven/futz.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
wpn_fiveseven_fly_mag_in,,weapons/t6/fiveseven/mag_in.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
wpn_fiveseven_fly_mag_out,,weapons/t6/fiveseven/mag_out.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50
wpn_fiveseven_fly_slide_forward,,weapons/t6/fiveseven/slide_forward.wav,1,1,,1,1,7,500,reload,,,,0.7,all_mp,,,,weapon2,50

# PPS-42
weap_ppsh42_fire_plr,,weapons/iw2/pps43/weap_pps43_fire_plr.wav,0.66,0.73,wpnplyr,1,1,500000,,local,,,,0.85,,,,,weapon2
weap_ppsh42_fire,,weapons/iw2/pps43/weap_pps43_fire_plr.wav,0.87,0.93,wpnai,1,1,35,10920,weapon,,,,0.7,all_mp,,,,weapon4

weap_pps43_clipout_plr,,weapons/iw2/pps43/weap_pps43_clipout_plr.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_pps43_clipin_plr,,weapons/iw2/pps43/weap_pps43_clipin_plr.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_pps43_charge_plr,,weapons/iw2/pps43/weap_pps43_charge_plr.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# MSR
weap_msr_fire_plr,,weapons/iw5/msr/weap_msr_slst_1.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
weap_msr_fire_npc,,weapons/iw5/msr/weap_msr_slmn_1.wav,0.8,1,max,1,1,35,13780,weapon,,,,0.7,all_mp,,,,weapon4

weap_msr_lift_plr,,weapons/iw5/msr/wpfoly_msr_reload_lift_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_msr_chamber_open_plr,,weapons/iw5/msr/wpfoly_msr_reload_boltopen_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_msr_clipout_plr,,weapons/iw5/msr/wpfoly_msr_reload_clipout_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_msr_clipin_plr,,weapons/iw5/msr/wpfoly_msr_reload_clipin_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,
weap_msr_chamber_close_plr,,weapons/iw5/msr/wpfoly_msr_reload_boltclose_v1.wav,1,1,wpnplyr,1,1,7,500,reload2d,,,,0.85,,,,,weapon2,

# PSD9
wpn_psd9_fire_plr,,weapons/h1/psd9/fire.wav,0.9,1,max,1,1,5000,,local,,,,0.85,,,,,weapon2,,,,
